Статья,Ссылка,Доступ,Авторы
ПРОБЛЕМЫ ИСПОЛЬЗОВАНИЯ СТЕКЛЯННЫХ КОНТЕЙНЕРОВ ДЛЯ СТЕРИЛЬНЫХ РАСТВОРОВ,https://www.elibrary.ru/item.asp?id=25381803,Free,Гудзь Н.И.
ПРЕПОДАВАНИЕ ПРИНЦИПОВ ФАРМАЦЕВТИЧЕСКОЙ РАЗРАБОТКИ ЖИДКИХ И МЯГКИХ ЛЕКАРСТВЕННЫХ ФОРМ ПРИ ПОДГОТОВКЕ ПРОВИЗОРОВ В УКРАИНЕ,https://www.elibrary.ru/item.asp?id=25381979,Free,"Гудзь Н.И., Калинюк Т.Г."
ОСОБЕННОСТИ ФАРМАЦЕВТИЧЕСКОЙ РАЗРАБОТКИ ЛЕКАРСТВЕННЫХ СРЕДСТВ НА ОСНОВЕ РАСТИТЕЛЬНЫХ СУБСТАНЦИЙ,https://www.elibrary.ru/item.asp?id=25382026,Free,"Езерская О.И., Лысюк Р.М., Гудзь Н.И., Калинюк Т.Г., Дармограй Р.Е."
ДЕМИДОВСКАЯ ПРЕМИЯ: ВКЛАД СОТРУДНИКОВ ГОРНОГО ИНСТИТУТА В СТАНОВЛЕНИЕ НАУКИ И ПРОМЫШЛЕННОСТЬ РОССИИ,https://www.elibrary.ru/item.asp?id=20782062,Free,"Афанасьев В.Г., Шестакова И.Г."
ИСТОРИЧЕСКИЙ ПУТЬ ШКОЛЫ СЫЩИКОВ ДАЛЬНЕГО ВОСТОКА РОССИИ,https://www.elibrary.ru/item.asp?id=17530150,No-Access,Моргун Н.В.
СВЕДЕНИЯ ОБ АВТОРАХ СТАТЕЙ,https://www.elibrary.ru/item.asp?id=14999056,Free,
"15-ЛЕТИЕ ФЕДЕРАЛЬНОГО НАУЧНО-ПРАКТИЧЕСКОГО ЖУРНАЛА ""АДМИНИСТРАТИВНОЕ ПРАВО И ПРОЦЕСС"": АНАЛИЗ ДОСТИГНУТОГО И ПЕРСПЕКТИВЫ СОВЕРШЕНСТВОВАНИЯ",https://www.elibrary.ru/item.asp?id=41139862,No-Access,Дугенец А.С.
"МЕЖРЕГИОНАЛЬНАЯ НАУЧНО-ПРАКТИЧЕСКАЯ КОНФЕРЕНЦИЯ ""ПРАВОСЛАВИЕ НА УРАЛЕ: ВЕХИ ИСТОРИИ""",https://www.elibrary.ru/item.asp?id=18066882,Free,"Печерин А.В., Никулин И.А."
ОПРЕДЕЛИТЕЛЬ И КАТАЛОГ ЖУКОВ-ЧЕРНОТЕЛОК (COLEOPTERA: TENEBRIONIDAE S. STR.) КАВКАЗА И ЮГА ЕВРОПЕЙСКОЙ ЧАСТИ РОССИИ,https://www.elibrary.ru/item.asp?id=21093733,Free,"Абдурахманов Г.М., Набоженко М.В."
ПОЭТИКА СОВРЕМЕННОЙ МОРДОВСКОЙ ВОЕННОЙ ПОВЕСТИ,https://www.elibrary.ru/item.asp?id=23311151,Free,Левина Н.Н.
"НОВОЕ В ГЕОЛОГИИ И ГЕОФИЗИКЕ АРКТИКИ, АНТАРКТИКИ И МИРОВОГО ОКЕАНА",https://www.elibrary.ru/item.asp?id=25825736,Free,
ПРОМЫСЛОВЫЕ ГРЫЗУНЫ И ЗАЙЦЫ ОМСКОЙ ОБЛАСТИ,https://www.elibrary.ru/item.asp?id=22635419,Free,"Сидоров Г.Н., Кассал Б.Ю., Мишкин Б.И., Гончарова О.В., Фролов К.В."
ФИННО-УГОРСКИЕ ЯЗЫКИ И КУЛЬТУРЫ В СОЦИОКУЛЬТУРНОМ ЛАНДШАФТЕ РОССИИ,https://www.elibrary.ru/item.asp?id=22839156,Free,
СЕМАНТИЧЕСКОЕ ПОЛЕ ФАКТУРЫ ПОВЕРХНОСТЕЙ В УРАЛЬСКИХ ЯЗЫКАХ: К ЛЕКСИЧЕСКОЙ ТИПОЛОГИИ,https://www.elibrary.ru/item.asp?id=23533741,Free,Кашкин Е.В.
КРАСНАЯ КНИГА РЕСПУБЛИКИ МОРДОВИЯ,https://www.elibrary.ru/item.asp?id=24418067,Free,"Бармин Н.А., Варгот Е.В., Ворсобина Л.И., Гришуткина Г.А., Долматова Л.В., Ивойлов А.В., Кирюхин И.В., Кузьмина О.В., Лёвин В.К., Лещанкина В.В., Письмаркина Е.В., Раков В.В., Смирнов В.М., Терёшкина Л.В., Чугунов Г.Г."
НАУЧНОЕ ОБЕСПЕЧЕНИЕ ОТРАСЛИ САДОВОДСТВА НЕЧЕРНОЗЕМЬЯ ЗА 80 ЛЕТ,https://www.elibrary.ru/item.asp?id=15265378,Free,"Куликов И.М., Принева Л.А."
ЮЖНЫЙ УРАЛ. ПРОШЛОЕ И НАСТОЯЩЕЕ ЧЕЛЯБИНСКОЙ ОБЛАСТИ,https://www.elibrary.ru/item.asp?id=46496258,Free,"Кондрашова Е.Н., Веденеева О.А., Сайгушев Н.Я."
ОБОРОНИТЕЛЬНЫЕ УКРЕПЛЕНИЯ РЖЕВСКОГО ЛЕСОПАРКА 1941-1945 ГГ: АЭРОДРОМ СМОЛЬНОЕ,https://www.elibrary.ru/item.asp?id=47412844,No-Access,Филипенко И.Е.
"""РАНЬШЕ ХОТЯ И ЛЮБИЛ, НО НЕ УМЕЛ ЦЕНИТЬ...""(СОБЫТИЯ ГРАЖДАНСКОЙ ВОЙНЫ В ДОКУМЕНТАХ УГОЛОВНОГО ДЕЛА ПО ОБВИНЕНИЮ Г.Н. И В.С. НАЗАРОВЫХ В КОНТРРЕВОЛЮЦИИ)",https://www.elibrary.ru/item.asp?id=44276838,Free,Судакова Т.В.
СОВРЕМЕННЫЕ ТЕНДЕНЦИИ ПРОСТРАНСТВЕННОГО РАЗВИТИЯ И ПРИОРИТЕТЫ ОБЩЕСТВЕННОЙ ГЕОГРАФИИ,https://www.elibrary.ru/item.asp?id=35456382,Free,
ИСТОРИЯ РУССКОЙ КУЛЬТУРЫ ХIХ - НАЧАЛА ХХ В,https://www.elibrary.ru/item.asp?id=24386058,Free,Мокшин Г.Н.
ИМЕННОЙ УКАЗАТЕЛЬ,https://www.elibrary.ru/item.asp?id=29222328,Free,Масанов Ю.
СТЕЖКИ-ДОРОЖКИ (ПРОДОЛЖЕНИЕ),https://www.elibrary.ru/item.asp?id=19528332,Free,Четвериков Б.Д.
ПРАВОСЛАВИЕ НА УРАЛЕ: ВЕХИ ИСТОРИИ,https://www.elibrary.ru/item.asp?id=35378930,Free,
ТРАДИЦИИ И ИННОВАЦИИ ГРАЖДАНСКОГО ВОСПИТАНИЯ В СОВРЕМЕННОМ ОБРАЗОВАТЕЛЬНОМ ПРОСТРАНСТВЕ,https://www.elibrary.ru/item.asp?id=35402520,No-Access,
ВЫПУСКНИКИ КАФЕДРЫ БОТАНИКИ,https://www.elibrary.ru/item.asp?id=44247227,Free,"Курбатская Н.В., Ревушкин А.С., Щёголева Н.В."
ПРАВОСЛАВНЫЕ ЧАСОВНИ РУССКОГО СЕВЕРА В XX В,https://www.elibrary.ru/item.asp?id=43111170,Free,Мелехова Г.Н.
ДОКЛАД РЕВИЗИОННОЙ КОМИССИИ РФО,https://www.elibrary.ru/item.asp?id=41821984,No-Access,Малюкова О.В.
"""БЛИСТАТЕЛЬНЫЙ САНКТ-ПЕТЕРБУРГ"" НИКОЛАЯ АГНИВЦЕВА: О ТРИВИАЛЬНОСТИ И НАСТОЯЩЕЙ ПОЭЗИИ",https://www.elibrary.ru/item.asp?id=24976307,No-Access,Тверьянович К.Ю.
"""СВОБОДА И ПОКОЙ"": К ИСТОРИИ ВОЗНИКНОВЕНИЯ ПОЭТИЧЕСКОЙ ФОРМУЛЫ",https://www.elibrary.ru/item.asp?id=24931316,Free,Гуськов Н.А.
СВЯЗОЧНЫЕ ГЛАГОЛЫ СО ЗНАЧЕНИЕМ ОБЩЕГО МНЕНИЯ В РУССКОМ ЯЗЫКЕ XVIII ВЕКА,https://www.elibrary.ru/item.asp?id=24931339,Free,Руднев Д.В.
"ПЕРВЫЕ ИЗДАННЫЕ В РОССИИ ГРАММАТИКИ ФРАНЦУЗСКОГО ЯЗЫКА И ИХ ИСТОЧНИКИ (ТРАКТОВКА КАТЕГОРИИ ГЛАГОЛЬНОГО ВРЕМЕНИ В ""НОВОЙ ФРАНЦУЗСКОЙ ГРАММАТИКЕ"" В. Е. ТЕПЛОВА И ""EXPLICATION DE LA GRAMMAIRE FRANçOISE"" П. ДЕ ЛАВАЛЯ)",https://www.elibrary.ru/item.asp?id=24932597,Free,Карева Н.В.
"ЭТЮД Н. М. КАРАМЗИНА ""НОЧЬ"": НЕКОТОРЫЕ НАБЛЮДЕНИЯ НАД ПОЭТИКОЙ ЛИРИЧЕСКОЙ ПРОЗЫ",https://www.elibrary.ru/item.asp?id=24937856,Free,Тираспольская А.Ю.
"ТРАГЕДИЯ Н. Н. САНДУНОВА ""СИДНЕЙ И ЭННИ"" И РЕПЕРТУАРНАЯ ПОЛИТИКА ПЕТРОВСКОГО ТЕАТРА В 1780-Е ГОДЫ",https://www.elibrary.ru/item.asp?id=24937870,Free,"Кукушкина Е.Д., Симанков В.И."
ДУХОВНАЯ ПОЭЗИЯ А. Т. БОЛОТОВА,https://www.elibrary.ru/item.asp?id=24937878,Free,Веселова А.Ю.
ПРОДУКТИВНОСТЬ НЕПЕРЕВОДИМОСТИ,https://www.elibrary.ru/item.asp?id=24937893,Free,Виролайнен М.Н.
ИЗ НАБЛЮДЕНИЙ НАД РУКОПИСЯМИ ПЕРЕВОДОВ ВЯЧ. ИВАНОВА,https://www.elibrary.ru/item.asp?id=24940787,No-Access,Лаппо-Данилевский К.Ю.
ОБ ОДНОЙ ИЛЛЮМИНАЦИИ СЕРЕДИНЫ XVIII ВЕКА: Я. ШТЕЛИН – В. И. ЛЕБЕДЕВ – М. В. ЛОМОНОСОВ,https://www.elibrary.ru/item.asp?id=24940788,Free,"Волков С.С., Матвеев Е.М."
"""СЛОВО О ВИТИЙСТВЕ"" В. К. ТРЕДИАКОВСКОГО В СОПОСТАВЛЕНИИ С АНТИЧНОЙ И ЗАПАДНОЕВРОПЕЙСКОЙ РИТОРИЧЕСКОЙ ТРАДИЦИЕЙ XVI–XVIII ВЕКОВ",https://www.elibrary.ru/item.asp?id=24940794,Free,Власов С.В.
ЖИТЬ ПО ПЛУТАРХУ,https://www.elibrary.ru/item.asp?id=24940802,Free,Николаев С.И.
"ДЕРЖАВИНСКАЯ ""РЕКА ВРЕМЕН"" В СТИХОТВОРЕНИИ А. КУШНЕРА: ТРАНСФОРМАЦИЯ ОБРАЗА",https://www.elibrary.ru/item.asp?id=24940842,No-Access,Пономарева М.В.
"""СОЛНЦЕ ПРАВДЫ"": МЕТАФОРИКА ПОЭМЫ Н. А. НЕКРАСОВА ""ТИШИНА"" И ЛИТЕРАТУРНЫЙ КОНТЕКСТ",https://www.elibrary.ru/item.asp?id=24940937,No-Access,Зубков К.Ю.
"ТОПОС ""ТИШИНЫ"" В ПОЭЗИИ КАРАМЗИНА",https://www.elibrary.ru/item.asp?id=24940944,No-Access,Кочеткова Н.Д.
ПРОБЛЕМА ИМЕНОВАНИЯ И ЭТИМОЛОГИЧЕСКАЯ РЕФЛЕКСИЯ В ДОКОМПАРАТИВИСТСКОМ РУССКОМ ЯЗЫКОЗНАНИИ,https://www.elibrary.ru/item.asp?id=24940990,No-Access,Чердаков Д.Н.
ОБ ЭВФОНИИ В ВЕРЛИБРЕ,https://www.elibrary.ru/item.asp?id=24976331,Free,Аникина Т.Е.
ПОГОДИНСКАЯ ЛЕТОПИСЬ – ПАМЯТНИК НОВГОРОДСКОГО ЛЕТОПИСАНИЯ XVIII ВЕКА,https://www.elibrary.ru/item.asp?id=24976341,Free,Яковлев В.В.
"""ВЫ – ДОСТОЙНЕЙШИЙ ИЗ ВСЕХ"". НЕИЗВЕСТНЫЕ ПИСЬМА 1933 Г. ПРОТОПРЕСВИТЕРА ГЕОРГИЯ ШАВЕЛЬСКОГО И ГЕНЕРАЛА ОТ КАВАЛЕРИИ ПЕТРА НИКОЛАЕВИЧА КРАСНОВА ПРОФЕССОРУ НИКОЛАЮ НИКОЛАЕВИЧУ ГОЛОВИНУ",https://www.elibrary.ru/item.asp?id=24976343,No-Access,Александров К.М.
"""НА ПАЛУБЕ РАЗБОЙНИЧЬЕГО БРИГА…"": РОМАНТИЧЕСКАЯ НОТА В ТВОРЧЕСТВЕ ВСЕВОЛОДА РОЖДЕСТВЕНСКОГО (ИЗ ЭПИСТОЛЯРНОГО НАСЛЕДИЯ 1920–1930-Х ГГ.)",https://www.elibrary.ru/item.asp?id=24976344,No-Access,"Рождественская М.В., Рождественская Т.В."
"""ЗАБАВНОЕ"" СДЕЛАТЬ КОМИЧЕСКИМ. ЮМОР В РОМАНЕ И. А. ГОНЧАРОВА ""ОБРЫВ""",https://www.elibrary.ru/item.asp?id=24960299,No-Access,Отрадин М.В.
"ОБРАЗ САМОЗВАНЦА В ПЬЕСЕ А. С. ПУШКИНА ""БОРИС ГОДУНОВ"": ФОРМИРОВАНИЕ И ФУНКЦИЯ АВТО- И ГЕТЕРОСТЕРЕОТИПОВ",https://www.elibrary.ru/item.asp?id=24960460,No-Access,Маргграфф У.
"""МЕДНЫЙ ВСАДНИК"" ПУШКИНА В ПЕРЕЛОЖЕНИИ ПЛАТОНА СМИРНОВСКОГО",https://www.elibrary.ru/item.asp?id=24960478,No-Access,Карпов А.А.
ИССЛЕДОВАТЕЛИ НАРОДОВ И КУЛЬТУР ЕВРАЗИИ,https://www.elibrary.ru/item.asp?id=25384352,No-Access,Рожкин Е.Н.
ЧИСЛЕННОСТЬ И ГЕНДЕРНЫЙ СОСТАВ УЧАСТНИКОВ КРЕСТЬЯНСКИХ СХОДОВ ВОЛОГОДСКОЙ ГУБЕРНИИ (ВТОРАЯ ПОЛОВИНА XIX ВЕКА),https://www.elibrary.ru/item.asp?id=25384379,No-Access,Попов С.А.
НИЖНЕВЫЧЕГОДСКИЕ ВОЛОСТИ КОМИ КРАЯ В НАЧАЛЕ XVIII ВЕКА,https://www.elibrary.ru/item.asp?id=25442839,No-Access,"Мацук А.М., Мацук М.А."
PETRA PHILOLOGICA: ПРОФЕССОРУ ПЕТРУ ЕВГЕНЬЕВИЧУ БУХАРКИНУ КО ДНЮ ШЕСТИДЕСЯТИЛЕТИЯ,https://www.elibrary.ru/item.asp?id=24863129,No-Access,
"""ПРОБЛЕМЫ ИСТОРИЧЕСКОЙ ДЕМОГРАФИИ СИБИРИ"" (СБОРНИКИ НАУЧНЫХ ТРУДОВ)",https://www.elibrary.ru/item.asp?id=25134709,No-Access,Дашинамжилов О.Б.
УТАЕННАЯ ЛЮБОВЬ М.Н. МУРАВЬЕВА,https://www.elibrary.ru/item.asp?id=25222071,No-Access,Росси Л.
"ЧЕЛОВЕК, СУБЪЕКТ, ЛИЧНОСТЬ В СОВРЕМЕННОЙ ПСИХОЛОГИИ",https://www.elibrary.ru/item.asp?id=20373004,No-Access,
ОТЧЕТ О ДЕЯТЕЛЬНОСТИ РОССИЙСКОГО МИНЕРАЛОГИЧЕСКОГО ОБЩЕСТВА ЗА 2010 ГОД,https://www.elibrary.ru/item.asp?id=16895647,No-Access,"Карякина Т.А., Морозов М.В."
И. С. ТУРГЕНЕВ КАК АВТОР ПЕРЕВОДОВ,https://www.elibrary.ru/item.asp?id=34871105,No-Access,Судакова О.Н.
НАУЧНАЯ СЕССИЯ ТУСУР-2012,https://www.elibrary.ru/item.asp?id=24177102,No-Access,
НАУЧНАЯ СЕССИЯ ТУСУР-2012,https://www.elibrary.ru/item.asp?id=22787392,No-Access,
ЭКСПЕДИЦИЯ В ВАШКИНСКИЙ РАЙОН ВОЛОГОДСКОЙ ОБЛАСТИ,https://www.elibrary.ru/item.asp?id=23281404,No-Access,Морозов И.А.
УПРАВЛЕНИЕ КАЧЕСТВОМ ЭЛЕКТРОЭНЕРГИИ И ЭНЕРГОЭФФЕКТИВНОСТЬЮ В СИСТЕМАХ ЭЛЕКТРОСНАБЖЕНИЯ ЖЕЛЕЗНЫХ ДОРОГ НА ОСНОВЕ ТЕХНОЛОГИЙ ИНТЕЛЛЕКТУАЛЬНЫХ СЕТЕЙ (SMART GRID),https://www.elibrary.ru/item.asp?id=24691669,No-Access,Черепанов А.В.
ПРИЛОЖЕНИЕ 3. СПИСОК ВОЕННО-ПЛЕННЫХ БЕЛОГВАРДЕЙЦЕВ НАЗНАЧЕННЫХ В 1 КАЗАНСКИЙ КРЕПОСТНОЙ ПОЛК 21.07.1919 Г. ИЖЕВСКИЙ ВОЕННЫЙ КОМИССАРИАТ. ДЕЛО 8 УЧЕТНО-МОБИЛИЗАЦИОННОГО ОТДЕЛЕНИЯ. ПЕРЕПИСКА С УЧРЕЖДЕНИЯМИ ПО УЧЕТУ И МОБИЛИЗАЦИИ ПРИБЫВШИХ ИЗ ПЛЕНА СОЛДАТ СТАРОЙ АРМИИ И ГРАЖДАНСКОЙ ВОЙНЫ. ИМЕННЫЕ СПИСКИ ТАКОВЫХ. НАЧАТО 24 АВГУСТА 1919 Г. КОНЧЕНО В ДЕКАБРЕ 1919 Г,https://www.elibrary.ru/item.asp?id=28090729,No-Access,
"ОСНОВНЫЕ РУБРИКИ И СОДЕРЖАНИЕ ЖУРНАЛА ""БЕЗОПАСНОСТЬ ЕВРАЗИИ"" ЗА 2000-2017 (№ 1) ГОДЫ (№№ 1-53)",https://www.elibrary.ru/item.asp?id=28938346,No-Access,
ОБРАЩЕНИЕ И ЕГО РОЛЬ В ОРГАНИЗАЦИИ ОБЩЕНИЯ (НА МАТЕРИАЛЕ ДРУЖЕСКИХ ПИСЕМ ТВОРЧЕСКОЙ ИНТЕЛЛИГЕНЦИИ КОНЦА XIX - ПЕРВОЙ ЧЕТВЕРТИ XX ВЕКА),https://www.elibrary.ru/item.asp?id=17294722,No-Access,Белунова Н.И.
МИР ПОВСЕДНЕВНОСТИ УСАДЬБЫ ЧЕРНЦЫ- ВОРОТЫНСКИХ В ПЕРВОЙ ПОЛОВИНЕ XIX ВЕКА,https://www.elibrary.ru/item.asp?id=15642094,No-Access,Полуярова Д.Н.
ПОСТАНОВЛЕНИЯ ПЛЕНУМА ВЫСШЕГО АРБИТРАЖНОГО СУДА РОССИЙСКОЙ ФЕДЕРАЦИИ ОТ 4 СЕНТЯБРЯ 2008 Г. № 40-56,https://www.elibrary.ru/item.asp?id=11571975,No-Access,
К 50-ЛЕТИЮ СПЕЦИАЛЬНОСТИ ТМСИ,https://www.elibrary.ru/item.asp?id=32789395,No-Access,"Давыдова М.В., Михалёв А.М., Семакин А.И., Грачева В.В."
НРАВСТВЕННО-ПСИХОЛОГИЧЕСКИЙ ПОРТРЕТ ЛИЧНОСТИ МИРОВОГО ПОСРЕДНИКА,https://www.elibrary.ru/item.asp?id=29810869,No-Access,"Дорохова Д.А., Фурсов В.Н."
"ОЧЕРК ЖИЗНИ СВЯЩЕННИКА СЕРГИЯ КУДРЯВЦЕВА, ЧЛЕНА ПОМЕСТНОГО СОБОРА 1917-1918 ГГ",https://www.elibrary.ru/item.asp?id=35157623,No-Access,Свечникова Н.О.
ТОБОЛЬСКИЕ НОТАРИУСЫ В КОНЦЕ XIX - НАЧАЛЕ ХХ В,https://www.elibrary.ru/item.asp?id=35171620,No-Access,Кодинцев А.Я.
"КРАТКИЕ СВЕДЕНИЯ ОБ ИНЖЕНЕРАХ И АРХИТЕКТОРАХ, РАБОТАВШИХ В ОМСКЕ ИЛИ ПРОЕКТИРОВАВШИХ ДЛЯ ГОРОДА В XVIII - ПЕРВОЙ ЧЕТВЕРТИ XX ВВ",https://www.elibrary.ru/item.asp?id=35647480,No-Access,Девятьярова И.Г.
СПОСОБ ЗАКАЧКИ РАБОЧЕГО АГЕНТА В СКВАЖИНЫ СО СЛАБОПРОНИЦАЕМЫМИ КОЛЛЕКТОРАМИ,https://www.elibrary.ru/item.asp?id=36956642,No-Access,Юсупов Ю.К.
"ЛЮДИ МРАМОРНОГО ДВОРЦА: РЕКРУТАЦИЯ И ПОВСЕДНЕВНЫЕ ПРАКТИКИ ПРЕДСТАВИТЕЛЕЙ ""ПРИДВОРНО-СЛУЖИТЕЛЬСКОГО СОСЛОВИЯ"" В ПРИДВОРНОМ ШТАТЕ ВЕЛИКОГО КНЯЗЯ КОНСТАНТИНА НИКОЛАЕВИЧА",https://www.elibrary.ru/item.asp?id=42638652,No-Access,Дзюбинский Я.Р.
УРОЖЕНЦЫ ТЕРРИТОРИИ СОВРЕМЕННОГО БАБУШКИНСКОГО РАЙОНА - МОРЯКИ-ГЕРОИ РУССКО-ЯПОНСКОЙ ВОЙНЫ 1904-1905 ГГ,https://www.elibrary.ru/item.asp?id=44302635,No-Access,Гладких С.А.
"""ЛОШАДЕЙ НАШИХ ВЕТРОМ КАЧАЛО..."" ВОСПОМИНАНИЯ ПОЛКОВНИКА М.Ф. ВОРОТОВОВА О БОРЬБЕ ОРЕНБУРГСКИХ КАЗАКОВ С КРАСНЫМИ В 1918-1922 ГГ",https://www.elibrary.ru/item.asp?id=43034420,No-Access,Ганин А.В.
